code,system
421779007,snomedct
420486006,snomedct
367261000119100,snomedct
190447002,snomedct
312908007,snomedct
408413000,snomedct
59276001,snomedct
193349004,snomedct
769183005,snomedct
769181007,snomedct
769184004,snomedct
769182000,snomedct
312907002,snomedct
408411003,snomedct
408414006,snomedct
408412005,snomedct
312909004,snomedct
190389009,snomedct
371087003,snomedct
422183001,snomedct
87451000119102,snomedct
140391000119101,snomedct
190368000,snomedct
10660471000119109,snomedct
609561005,snomedct
609572000,snomedct
190372001,snomedct
609562003,snomedct
426705001,snomedct
420868002,snomedct
422014003,snomedct
420662003,snomedct
419100001,snomedct
761000119102,snomedct
791000119109,snomedct
5969009,snomedct
739681000,snomedct
232020009,snomedct
25093002,snomedct
314010006,snomedct
769244003,snomedct
422099009,snomedct
390854003,snomedct
314011005,snomedct
50620007,snomedct
314904008,snomedct
201251005,snomedct
1511000119107,snomedct
193185007,snomedct
773001000000103,snomedct
424736006,snomedct
140381000119104,snomedct
230572002,snomedct
71771000119100,snomedct
111307005,snomedct
230579006,snomedct
238983004,snomedct
193489006,snomedct
308106006,snomedct
238982009,snomedct
707221002,snomedct
724136006,snomedct
201723002,snomedct
62260007,snomedct
309426007,snomedct
200687002,snomedct
48951005,snomedct
280137006,snomedct
398140007,snomedct
238984005,snomedct
312912001,snomedct
399870006,snomedct
769219006,snomedct
769217008,snomedct
770097006,snomedct
769218003,snomedct
769222008,snomedct
399864000,snomedct
769221001,snomedct
703137001,snomedct
703138006,snomedct
703136005,snomedct
530558861000132104,snomedct
5368009,snomedct
735200002,snomedct
237616002,snomedct
81531005,snomedct
73211009,snomedct
44054006,snomedct
197605007,snomedct
267467004,snomedct
33559001,snomedct
335621000000101,snomedct
190416008,snomedct
385041000000108,snomedct
190411003,snomedct
238981002,snomedct
421256007,snomedct
74627003,snomedct
190407009,snomedct
190412005,snomedct
313435000,snomedct
112991000000101,snomedct
190410002,snomedct
532411000000102,snomedct
762489000,snomedct
422228004,snomedct
111552007,snomedct
313436004,snomedct
190388001,snomedct
237599002,snomedct
414910007,snomedct
414894003,snomedct
267471001,snomedct
713702000,snomedct
713703005,snomedct
